Section,Name,Question,Name,Variable,Notes/Questions
2,Daily Activities,1,"During the past week, how many times did you do work around the
 house, such as cleaning, cooking, laundry, yardwork, or caring for a
 pet?",H1DA1,I'm most interested in sections 2 and 3 and how life long movement leads to better health outcomes.
2,Daily Activities,2,"During the past week, how many times did you do hobbies, such as
 collecting baseball cards, playing a musical instrument, reading, or
 doing arts and crafts?",H1DA2,
2,Daily Activities,3,"During the past week, how many times did you watch television or
 videos, or play video games?",H1DA3,
2,Daily Activities,5,"5. During the past week, how many times did you play an active sport,
 such as baseball, softball, basketball, soccer, swimming, or football?",H1DA5,
2,Daily Activities,6,"During the past week, how many times did you do exercise, such as
 jogging, walking, karate, jumping rope, gymnastics or dancing?",H1DA6,
2,Daily Activities,7,"During the past week, how many times did you just hang out with
 friends?",H1DA7,
2,Daily Activities,8,How many hours a week do you watch television,H1DA8,
2,Daily Activities,9,How many hours a week do you watch videos,H1DA9,
2,Daily Activities,10,How many hours a week do you play video or computer games,H1DA10,
3,General Health,1,"In general, how is your health? Would you say…",H1GH1,
3,General Health,2,How often have you had a headache?,H1GH2,
3,General Health,8,"feeling very tired, for no reason",H1GH8,
3,General Health,10,feeling really sick,H1GH10,
3,General Health,11,waking up feeling tired,H1GH11,
3,General Health,18,trouble falling asleep or staying asleep,H1GH18,
3,General Health,19,trouble relaxing,H1GH19,
3,General Health,20,moodiness,H1GH20,
3,General Health,21,frequent crying,H1GH21,
3,General Health,22,fearfulness,H1GH22,
3,General Health,24,When did you last have a physical examination by a doctor or nurse?,H1GH24,
3,General Health,25,"When did you last have a dental examination by a dentist or
hygienist?",H1GH25,
3,General Health,28,How do you think of yourself in terms of weight?,H1GH28,
3,General Health,42,"How often do you wear a seatbelt when you are riding in or driving
 a car?",H1GH42,
3,General Health,44,What do you think your chances are of getting AIDS?,H1GH44,
3,General Health,46,"What do you think your chances are of getting another sexually
 transmitted disease, such as gonorrhea or genital herpes? Would you
 say…",H1GH46,
3,General Health,52,Do you usually get enough sleep?,H1GH52,
3,General Health,59,What is your height in feet and inches?,H1GH59A,H1GH59B
4,Taught in School,1,the foods you should and shouldn’t eat,H1TS1,
4,Taught in School,2,the importance of exercise,H1TS2,
4,Taught in School,3,smoking,H1TS3,
4,Taught in School,4,the problems of being overweight,H1TS4,
4,Taught in School,13,stress,H1TS13,
4,Taught in School,14,how to handle conflic,H1TS14,
5,Academics and Education,1,"how many times {HAVE YOU BEEN/WERE YOU} absent
 from school for a full day with an excuse—for example,
 because you were sick or out of town?",H1ED1,
5,Academics and Education,16,paying attention in school?,H1ED16,
5,Academics and Education,17,getting your homework done?,H1ED17,
7,Access to Health Services,1,In the past year have you had a routine physical examination?,H1HS1,"This has follow up questions about where the service was provided, private doctor office, community clinic, etc."
7,Access to Health Services,3,"In the past year, have you received psychological or emotional
 counseling?",H1HS3,"This has follow up questions about where the service was provided, private doctor office, community clinic, etc."
7,Access to Health Services,5,"In the past year, have you attended a drug abuse or alcohol abuse
 treatment program?",H1HS5,"This has follow up questions about where the service was provided, private doctor office, community clinic, etc."
7,Daily Activities,7,"In the past year, have you received family planning counseling or
 services?",H1HS7,"This has follow up questions about where the service was provided, private doctor office, community clinic, etc."
